Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,ETH,8/8/15 23:59,2.798810005,0.714725018,2.793760061,0.753324986,674188,45486894.24
Ethereum,ETH,8/9/15 23:59,0.879809976,0.629190981,0.706135988,0.701897025,532170,42399573.5
Ethereum,ETH,8/10/15 23:59,0.729853988,0.636546016,0.713989019,0.708447993,405283,42818364.39
Ethereum,ETH,8/11/15 23:59,1.131410003,0.663235009,0.708087027,1.067860007,1463100,64569288.43
Ethereum,ETH,8/12/15 23:59,1.28994,0.883607984,1.058750033,1.217440009,2150620,73645010.99
Ethereum,ETH,8/13/15 23:59,1.965070009,1.171990037,1.222239971,1.827669978,4068680,110607191.7
Ethereum,ETH,8/14/15 23:59,2.261879921,1.754750013,1.81092,1.827870011,4637030,110672321.8
Ethereum,ETH,8/15/15 23:59,1.877239943,1.570979953,1.802889943,1.688899994,2554360,102303608.5
Ethereum,ETH,8/16/15 23:59,1.695240021,1.089810014,1.684350014,1.566030025,3550790,94901005.35
Ethereum,ETH,8/17/15 23:59,1.58118999,1.185340047,1.58118999,1.203609943,1942830,87295366.5
Ethereum,ETH,8/18/15 23:59,1.331159949,1.087049961,1.215299964,1.087049961,1485680,78868413.08
Ethereum,ETH,8/19/15 23:59,1.317989945,1.16692996,1.16692996,1.258859992,1486240,91366391.44
Ethereum,ETH,8/20/15 23:59,1.533300042,1.248329997,1.251180053,1.464920044,2843760,106351420.2
Ethereum,ETH,8/21/15 23:59,1.556419969,1.352800012,1.477519989,1.395290017,2020970,101331855.6
Ethereum,ETH,8/22/15 23:59,1.476410031,1.352679968,1.396289945,1.379230022,948310,100201825.7
Ethereum,ETH,8/23/15 23:59,1.409700036,1.297770023,1.375,1.352589965,1589300,98300351.35
Ethereum,ETH,8/24/15 23:59,1.362779975,1.231269956,1.345589995,1.231269956,924920,89515256.55
Ethereum,ETH,8/25/15 23:59,1.241819978,1.12864995,1.228610039,1.140190005,1307180,82922632.91
